loss_values,val_loss_values,acc_values,val_acc_values
1.0209227800369263,0.9593351483345032,0.4698641896247864,0.43220338225364685
0.9128450155258179,0.7612239122390747,0.5233446359634399,0.6610169410705566
0.8936511874198914,0.7131126523017883,0.564091682434082,0.6779661178588867
0.8141869902610779,0.9299330711364746,0.6103565096855164,0.5847457647323608
0.8624475002288818,0.8076040744781494,0.5882852077484131,0.6135593056678772
0.8227250576019287,0.7176766991615295,0.6154499053955078,0.701694905757904
0.7999864816665649,0.7894198894500732,0.6303055882453918,0.6169491410255432
0.7942363619804382,0.6561846733093262,0.6307300329208374,0.7033898234367371
0.7506444454193115,0.7588976621627808,0.6578947305679321,0.6661016941070557
0.826460599899292,0.6672830581665039,0.6107810139656067,0.698305070400238
0.7874836921691895,0.6637135744094849,0.6409168243408203,0.7118644118309021
0.7574949860572815,0.6270222663879395,0.6494057774543762,0.7237288355827332
0.7164118885993958,0.707538902759552,0.674872636795044,0.6610169410705566
0.7222466468811035,0.6283407807350159,0.6735993027687073,0.7203390002250671
0.8002510666847229,0.7016770243644714,0.6192699670791626,0.7118644118309021
0.7424362301826477,0.692646861076355,0.6617147922515869,0.6762712001800537
0.7845374941825867,0.7031916379928589,0.6392189860343933,0.7135593295097351
0.7334635853767395,0.7376754283905029,0.6706281900405884,0.6847457885742188
0.7051143050193787,0.593170166015625,0.6778438091278076,0.7305084466934204
0.7634369730949402,0.6749122738838196,0.651528000831604,0.701694905757904
0.708391547203064,0.6062236428260803,0.6829372048377991,0.7440677881240845
0.7306547164916992,0.5894408822059631,0.6604413986206055,0.7338982820510864
0.6774781942367554,0.6057664752006531,0.6897283792495728,0.7271186709403992
0.7039143443107605,0.680889368057251,0.6816638112068176,0.6864407062530518
0.7485488057136536,0.6695067286491394,0.6600169539451599,0.7118644118309021
0.6916360855102539,0.7024948596954346,0.685908317565918,0.6677966117858887
0.7398909330368042,0.7395570874214172,0.6532257795333862,0.6694915294647217
0.7145460844039917,0.576054573059082,0.680390477180481,0.7423728704452515
0.6521340608596802,0.694008469581604,0.7045840620994568,0.691525399684906
0.683056652545929,0.5637814998626709,0.6965195536613464,0.7491525411605835
0.6964394450187683,0.6105113625526428,0.6910017132759094,0.7033898234367371
0.7120687961578369,0.7680392265319824,0.6863327622413635,0.6372881531715393
0.6894823312759399,0.5653805732727051,0.6876060962677002,0.7474576234817505
0.6721843481063843,0.900272786617279,0.7050085067749023,0.5694915056228638
0.6790714263916016,0.6508246660232544,0.7079796195030212,0.7118644118309021
0.6957770586013794,0.6308634877204895,0.695246160030365,0.7067796587944031
0.6895463466644287,0.5633338093757629,0.6863327622413635,0.7440677881240845
0.6772133111953735,0.5695072412490845,0.6829372048377991,0.7423728704452515
0.652479887008667,0.5945942997932434,0.715619683265686,0.7457627058029175
0.6545604467391968,0.5549198985099792,0.7003395557403564,0.7508474588394165
0.6332894563674927,0.5581145882606506,0.7084040641784668,0.7440677881240845
0.6139560341835022,0.5727711915969849,0.7241086363792419,0.7542372941970825
0.6564955711364746,0.9950146675109863,0.710101842880249,0.503389835357666
0.7111353278160095,0.5810007452964783,0.6791171431541443,0.7288135886192322
0.6581822633743286,0.6811311841011047,0.7050085067749023,0.699999988079071
0.6701257824897766,0.5874497890472412,0.6943972706794739,0.7576271295547485
0.6488549709320068,0.5756583213806152,0.7113752365112305,0.7440677881240845
0.6326352953910828,0.6493269205093384,0.715619683265686,0.7237288355827332
0.6757621169090271,0.5827044248580933,0.6901528239250183,0.7305084466934204
